"","Package","LibPath","Version","Priority","Built"
"1","assertthat","C:/Users/mb87855/Documents/R/win-library/3.3","0.2.0",NA,"3.3.3"
"2","backports","C:/Users/mb87855/Documents/R/win-library/3.3","1.1.2",NA,"3.3.3"
"3","base64enc","C:/Users/mb87855/Documents/R/win-library/3.3","0.1-3",NA,"3.3.2"
"4","BH","C:/Users/mb87855/Documents/R/win-library/3.3","1.65.0-1",NA,"3.3.3"
"5","bindr","C:/Users/mb87855/Documents/R/win-library/3.3","0.1",NA,"3.3.3"
"6","bindrcpp","C:/Users/mb87855/Documents/R/win-library/3.3","0.2",NA,"3.3.3"
"7","bitops","C:/Users/mb87855/Documents/R/win-library/3.3","1.0-6",NA,"3.3.2"
"8","broom","C:/Users/mb87855/Documents/R/win-library/3.3","0.4.3",NA,"3.3.3"
"9","callr","C:/Users/mb87855/Documents/R/win-library/3.3","2.0.1",NA,"3.3.3"
"10","caTools","C:/Users/mb87855/Documents/R/win-library/3.3","1.17.1",NA,"3.3.3"
"11","cellranger","C:/Users/mb87855/Documents/R/win-library/3.3","1.1.0",NA,"3.3.3"
"12","cli","C:/Users/mb87855/Documents/R/win-library/3.3","1.0.0",NA,"3.3.3"
"13","colorspace","C:/Users/mb87855/Documents/R/win-library/3.3","1.3-2",NA,"3.3.3"
"14","crayon","C:/Users/mb87855/Documents/R/win-library/3.3","1.3.4",NA,"3.3.3"
"15","curl","C:/Users/mb87855/Documents/R/win-library/3.3","3.1",NA,"3.3.3"
"16","DBI","C:/Users/mb87855/Documents/R/win-library/3.3","0.7",NA,"3.3.3"
"17","dbplyr","C:/Users/mb87855/Documents/R/win-library/3.3","1.2.0",NA,"3.3.3"
"18","debugme","C:/Users/mb87855/Documents/R/win-library/3.3","1.1.0",NA,"3.3.3"
"19","dichromat","C:/Users/mb87855/Documents/R/win-library/3.3","2.0-0",NA,"3.3.2"
"20","digest","C:/Users/mb87855/Documents/R/win-library/3.3","0.6.14",NA,"3.3.3"
"21","dplyr","C:/Users/mb87855/Documents/R/win-library/3.3","0.7.4",NA,"3.3.3"
"22","evaluate","C:/Users/mb87855/Documents/R/win-library/3.3","0.10.1",NA,"3.3.3"
"23","forcats","C:/Users/mb87855/Documents/R/win-library/3.3","0.2.0",NA,"3.3.3"
"24","formatR","C:/Users/mb87855/Documents/R/win-library/3.3","1.5",NA,"3.3.3"
"25","ggplot2","C:/Users/mb87855/Documents/R/win-library/3.3","2.2.1",NA,"3.3.3"
"26","glue","C:/Users/mb87855/Documents/R/win-library/3.3","1.2.0",NA,"3.3.3"
"27","gtable","C:/Users/mb87855/Documents/R/win-library/3.3","0.2.0",NA,"3.3.3"
"28","haven","C:/Users/mb87855/Documents/R/win-library/3.3","1.1.1",NA,"3.3.3"
"29","highr","C:/Users/mb87855/Documents/R/win-library/3.3","0.6",NA,"3.3.3"
"30","hms","C:/Users/mb87855/Documents/R/win-library/3.3","0.4.1",NA,"3.3.3"
"31","htmltools","C:/Users/mb87855/Documents/R/win-library/3.3","0.3.6",NA,"3.3.3"
"32","httr","C:/Users/mb87855/Documents/R/win-library/3.3","1.3.1",NA,"3.3.3"
"33","jsonlite","C:/Users/mb87855/Documents/R/win-library/3.3","1.5",NA,"3.3.3"
"34","knitr","C:/Users/mb87855/Documents/R/win-library/3.3","1.19",NA,"3.3.3"
"35","labeling","C:/Users/mb87855/Documents/R/win-library/3.3","0.3",NA,"3.3.2"
"36","lazyeval","C:/Users/mb87855/Documents/R/win-library/3.3","0.2.1",NA,"3.3.3"
"37","lubridate","C:/Users/mb87855/Documents/R/win-library/3.3","1.7.1",NA,"3.3.3"
"38","magrittr","C:/Users/mb87855/Documents/R/win-library/3.3","1.5",NA,"3.3.3"
"39","markdown","C:/Users/mb87855/Documents/R/win-library/3.3","0.8",NA,"3.3.3"
"40","mime","C:/Users/mb87855/Documents/R/win-library/3.3","0.5",NA,"3.3.2"
"41","mnormt","C:/Users/mb87855/Documents/R/win-library/3.3","1.5-5",NA,"3.3.2"
"42","modelr","C:/Users/mb87855/Documents/R/win-library/3.3","0.1.1",NA,"3.3.3"
"43","munsell","C:/Users/mb87855/Documents/R/win-library/3.3","0.4.3",NA,"3.3.3"
"44","openssl","C:/Users/mb87855/Documents/R/win-library/3.3","0.9.9",NA,"3.3.3"
"45","pillar","C:/Users/mb87855/Documents/R/win-library/3.3","1.1.0",NA,"3.3.3"
"46","pkgconfig","C:/Users/mb87855/Documents/R/win-library/3.3","2.0.1",NA,"3.3.3"
"47","plogr","C:/Users/mb87855/Documents/R/win-library/3.3","0.1-1",NA,"3.3.3"
"48","plyr","C:/Users/mb87855/Documents/R/win-library/3.3","1.8.4",NA,"3.3.3"
"49","praise","C:/Users/mb87855/Documents/R/win-library/3.3","1.0.0",NA,"3.3.3"
"50","psych","C:/Users/mb87855/Documents/R/win-library/3.3","1.7.8",NA,"3.3.3"
"51","purrr","C:/Users/mb87855/Documents/R/win-library/3.3","0.2.4",NA,"3.3.3"
"52","R6","C:/Users/mb87855/Documents/R/win-library/3.3","2.2.2",NA,"3.3.3"
"53","RColorBrewer","C:/Users/mb87855/Documents/R/win-library/3.3","1.1-2",NA,"3.3.2"
"54","Rcpp","C:/Users/mb87855/Documents/R/win-library/3.3","0.12.15",NA,"3.3.3"
"55","readr","C:/Users/mb87855/Documents/R/win-library/3.3","1.1.1",NA,"3.3.3"
"56","readxl","C:/Users/mb87855/Documents/R/win-library/3.3","1.0.0",NA,"3.3.3"
"57","rematch","C:/Users/mb87855/Documents/R/win-library/3.3","1.0.1",NA,"3.3.3"
